df_over_f0,k_over_gamma,C_mean,C_min,C_max,C_std,stable,mode_id,mode,phase_slip_count,cluster_count
-0.08,0.01,0.3678234917501137,0.16336006355163024,0.4903038006424747,0.09951146809546034,False,3,cluster_split,0,2
-0.078,0.01,0.3807105895385507,0.1355190089511822,0.583138150248556,0.13933577018011212,False,3,cluster_split,0,5
-0.076,0.01,0.32595623837934706,0.1406372160513073,0.5418862421136114,0.1349332580464455,False,3,cluster_split,0,4
-0.074,0.01,0.2557006847664226,0.024876009402459872,0.5141601653326292,0.16514109353535214,False,1,decoherent,0,4
-0.07200000000000001,0.01,0.2555892928706846,0.10118882090949725,0.4615633314609562,0.12218914400918049,False,1,decoherent,0,4
-0.07,0.01,0.24236645638897952,0.10879339680112589,0.447088516687443,0.10723916511215452,False,1,decoherent,0,3
-0.068,0.01,0.35096742832981476,0.26583610891421533,0.4981688214670752,0.06967641380375197,False,3,cluster_split,0,4
-0.066,0.01,0.21325738928403654,0.057443017936288476,0.4301418088771129,0.12465155096428454,False,1,decoherent,0,3
-0.064,0.01,0.45653654324836407,0.22801175941968746,0.6619787371775264,0.1386485857065207,False,3,cluster_split,0,2
-0.062,0.01,0.49310692901667985,0.2623866237800187,0.656117509773518,0.12373212080852032,False,3,cluster_split,0,3
-0.06,0.01,0.48690726996123457,0.28801059323636446,0.606706643863931,0.09494367146658758,False,3,cluster_split,0,2
-0.058,0.01,0.6299188808451395,0.5128996291150844,0.7123392090500824,0.058384646890504335,False,3,cluster_split,0,6
-0.056,0.01,0.6118890029553643,0.5115153691542007,0.6685827821829442,0.047410987155572445,False,3,cluster_split,0,5
-0.054,0.01,0.6540572214616488,0.5890707389624725,0.7040845699860816,0.03392248412374396,False,3,cluster_split,0,5
-0.052000000000000005,0.01,0.8301701223280779,0.8112037485532688,0.8375279508689356,0.008192493869168645,True,4,inversion,0,8
-0.05,0.01,0.8033332607300852,0.7518365914080078,0.8336526490107994,0.025614570972216102,True,4,inversion,0,6
-0.048,0.01,0.8864768256612353,0.861745782575385,0.8986673450661877,0.012070046424204273,True,4,inversion,0,5
-0.046,0.01,0.8660708941496487,0.8594340556280364,0.8748037450771649,0.004770288991705686,True,4,inversion,0,7
-0.044,0.01,0.9269481244789735,0.9062429557176923,0.9452765533851378,0.01233927543167288,True,0,stable,0,4
-0.042,0.01,0.9097720695228619,0.8691540421671694,0.9397540971870861,0.021354835085982068,True,0,stable,0,4
-0.04,0.01,0.9321730559217306,0.9019831817416313,0.9546188512756913,0.015894106447092955,True,0,stable,0,4
-0.038,0.01,0.9559197453497276,0.931647537854296,0.9776162530310071,0.014634901121066047,True,0,stable,0,5
-0.036000000000000004,0.01,0.9772225519070138,0.958916633582795,0.987985798416209,0.008542890933635514,True,0,stable,0,2
-0.034,0.01,0.9728709047150795,0.9472104800414379,0.9889632374657279,0.012577046020300346,True,0,stable,0,2
-0.032,0.01,0.9647788311232639,0.9380298116557758,0.9845999066686589,0.01395608234762042,True,0,stable,0,3
-0.03,0.01,0.9673795976578803,0.9334076559615608,0.9869120154402363,0.01604302718776964,True,0,stable,0,2
-0.027999999999999997,0.01,0.9705875724716274,0.945253817500883,0.9859353524005362,0.0121654121538595,True,0,stable,0,3
-0.026000000000000002,0.01,0.9897420896942111,0.9753956694369674,0.9971361681249056,0.006377803960412819,True,0,stable,0,2
-0.024,0.01,0.9917733496001215,0.9792945679956024,0.9979663609826583,0.00547830269151705,True,0,stable,0,1
-0.022,0.01,0.9788737548312297,0.9603172432733541,0.9905315084718929,0.009068939063433356,True,0,stable,0,2
-0.020000000000000004,0.01,0.9508297922468049,0.9249532330401533,0.9734144347148178,0.014354183678137662,True,0,stable,0,4
-0.018000000000000002,0.01,0.9793822740237951,0.9654087451022875,0.9895258507249604,0.007123414156324024,True,0,stable,0,4
-0.016,0.01,0.9796845529308443,0.9604655953605715,0.9929016555880338,0.009832523198598973,True,0,stable,0,4
-0.013999999999999999,0.01,0.9816417992451036,0.9605021284474254,0.9942753436530056,0.010055647377806641,True,0,stable,0,2
-0.011999999999999997,0.01,0.9809230948177264,0.9594313974308881,0.9949480777569808,0.01088579185598882,True,0,stable,0,2
-0.009999999999999995,0.01,0.9948237405494538,0.9856079917531024,0.9990067278221676,0.0038966511620721336,True,0,stable,0,1
-0.007999999999999993,0.01,0.960164556673585,0.9448425381235509,0.9694130120768669,0.007012931514450488,True,0,stable,0,3
-0.006000000000000005,0.01,0.9719758787645708,0.9538280578135895,0.9818673991816166,0.008373634215657597,True,0,stable,0,2
-0.0040000000000000036,0.01,0.9949944054559577,0.9864743992085315,0.999018755654884,0.003676958490690577,True,0,stable,0,1
-0.0020000000000000018,0.01,0.9833184506832823,0.9755092533123927,0.989093800761759,0.0038592866266576086,True,0,stable,0,3
0.0,0.01,0.993583902555264,0.984086814319468,0.9985800440276498,0.004305070589690356,True,0,stable,0,3
0.0020000000000000018,0.01,0.9723808362428804,0.9542108503654455,0.9846183922356163,0.009029089569287923,True,0,stable,0,4
0.0040000000000000036,0.01,0.9957273774852194,0.9881245613783037,0.9991995029584336,0.0032303429275506454,True,0,stable,0,1
0.006000000000000005,0.01,0.9935989472646577,0.9830291785037234,0.9986980965570441,0.004603598840292011,True,0,stable,0,1
0.007999999999999993,0.01,0.9961046430723967,0.9891312848164984,0.9992659051969865,0.0029505940762648594,True,0,stable,0,1
0.009999999999999995,0.01,0.9960088061543323,0.9894085336079993,0.9991676890394634,0.002857474991018192,True,0,stable,0,1
